Time,Source,Destiny,SrcPort,DstPort,Protocol,Frame,Ack,Payload
1.099786,192.168.122.20,192.168.121.10,9000,46246,TCP,5,2,"9000 > 46246 [SYN, ACK] Seq=0 Ack=1 Win=28960 Len=0 MSS=1460 SACK_PERM=1 TSval=856434 TSecr=646876 WS=128"
1.102422,192.168.122.20,192.168.121.10,9000,46246,TCP,8,7,9000 > 46246 [ACK] Seq=1 Ack=2 Win=29056 Len=0 TSval=856435 TSecr=646876
1.102446,192.168.122.20,192.168.121.10,9000,46246,TCP,9,,"9000 > 46246 [PSH, ACK] Seq=1 Ack=2 Win=29056 Len=1 TSval=856435 TSecr=646876[Malformed Packet]"
1.103721,192.168.122.20,192.168.121.10,9000,46246,TCP,12,11,"9000 > 46246 [PSH, ACK] Seq=2 Ack=203 Win=30080 Len=1 TSval=856435 TSecr=646877"
1.104460,192.168.122.20,192.168.121.10,9000,46246,TCP,14,13,"9000 > 46246 [PSH, ACK] Seq=3 Ack=230 Win=30080 Len=7 TSval=856435 TSecr=646877"
11.486807,192.168.122.20,192.168.121.10,9000,46246,TCP,2110,2099,9000 > 46246 [ACK] Seq=10 Ack=235 Win=30080 Len=0 TSval=859031 TSecr=649473 SLE=230 SRE=235
12.283849,192.168.122.20,192.168.121.10,9000,46246,TCP,2143,,"9000 > 46246 [PSH, ACK] Seq=10 Ack=235 Win=30080 Len=5 TSval=859230 TSecr=649473"
12.284199,192.168.122.20,192.168.121.10,9000,46246,TCP,2146,2145,9000 > 46246 [ACK] Seq=15 Ack=236 Win=30080 Len=0 TSval=859230 TSecr=649672
12.284265,192.168.122.20,192.168.121.10,9000,46246,TCP,2147,,"9000 > 46246 [PSH, ACK] Seq=15 Ack=236 Win=30080 Len=1 TSval=859230 TSecr=649672"
12.285020,192.168.122.20,192.168.121.10,9000,46246,TCP,2149,2148,"9000 > 46246 [FIN, ACK] Seq=16 Ack=237 Win=30080 Len=0 TSval=859230 TSecr=649672"
